iteration,cumulative_aero_time_s,wake_time_s,tip_u1_A_m,tip_u2_A_m,tip_u3_A_m,tip_OOP_m,tip_IP_m,tip_twist_deg,geometry_residual,load_residual,wake_force_residual,wake_circulation_residual,wake_converged
14.0,0.7048872727272727,0.050349090909090906,0.08437478245906124,0.00033569394180151956,-0.007482316935224395,-0.08437478245906124,-0.00033569394180151956,0.7887643287519582,0.008282246632894062,0.021593486468844493,6.948617532593653e-5,9.409890117952089e-5,1.0
15.0,0.7552363636363636,0.050349090909090906,0.08499290668158187,0.0003403195264912241,-0.0075935372098979315,-0.08499290668158187,-0.0003403195264912241,0.7941866380338024,0.006291719354830646,0.016259221445913578,6.948646437565877e-5,9.406301799164914e-5,1.0
16.0,0.8055854545454545,0.050349090909090906,0.08546217920667927,0.00034383853641932536,-0.007678550603448669,-0.08546217920667927,-0.00034383853641932536,0.7982911655306989,0.004776505594063452,0.012243924176344177,6.948680987891125e-5,9.403584983337684e-5,1.0
17.0,0.8559345454545454,0.050349090909090906,0.08581824063923615,0.00034651091183253733,-0.007743388838275995,-0.08581824063923615,-0.00034651091183253733,0.8013972243303202,0.003624119241879278,0.00922109251118204,6.948715132634855e-5,9.401528470833236e-5,1.0
18.0,0.9062836363636363,0.050349090909090906,0.08608826516645246,0.0003485375554023922,-0.007792753667505421,-0.08608826516645246,-0.0003485375554023922,0.8037470527397356,0.002748361318147945,0.006945162251481518,6.948746065722011e-5,9.399972139189738e-5,1.0
19.0,0.9566327272727272,0.050349090909090906,0.08629294948440931,0.0003500728667571063,-0.007830285693342922,-0.08629294948440931,-0.0003500728667571063,0.8055243259916305,0.0020832857856978135,0.005421942368670655,6.948772751556494e-5,9.398794603097709e-5,1.0
20.0,1.0069818181818182,0.050349090909090906,0.08644804185731955,0.0003512350064587533,-0.00785878958029423,-0.08644804185731955,-0.0003512350064587533,0.8068682492758125,0.0015785157228301314,0.00423245538376383,6.948795075146286e-5,9.39790386156443e-5,1.0
21.0,1.057330909090909,0.050349090909090906,0.08656551522532506,0.0003521141140247596,-0.007880417595851761,-0.08656551522532506,-0.0003521141140247596,0.8078842793572256,0.0011956182725749564,0.003293960234129443,6.948813363780787e-5,9.397230202918687e-5,1.0
22.0,1.10768,0.050349090909090906,0.08665446556245265,0.00035277878681280115,-0.007896816390100366,-0.08665446556245265,-0.00035277878681280115,0.8086522754659803,0.0009053068018713308,0.002556673824923062,6.948828126977473e-5,9.396720819995298e-5,1.0
23.0,1.158029090909091,0.050349090909090906,0.0867217987062301,0.0003532811320007458,-0.007909242813355628,-0.0867217987062301,-0.0003532811320007458,0.8092326915000118,0.0006852870177791531,0.0019796410074243596,6.948839915859415e-5,9.396335722012122e-5,1.0
24.0,1.2083781818181818,0.050349090909090906,0.08677275470928378,0.0003536606746398052,-0.007918654414386947,-0.08677275470928378,-0.0003536606746398052,0.8096712771021066,0.0005186026407666265,0.0015295323291676754,6.948849250407064e-5,9.396044633151519e-5,1.0
