system,elements,mode,frequency_hz,error_vs_320_percent,successive_change_percent,published_error_percent
coupled,40,f4,19.414038205574194,0.0249505614347445,-0.004157420858430516,NaN
coupled,40,f5,35.21644841335949,0.08349015417457029,0.049838081354969255,NaN
coupled,40,f6,39.311733380412925,-0.01244448410069321,0.015860138496237575,NaN
coupled,40,f7,92.29830175218116,-0.07871645174855058,0.0884077605813216,NaN
coupled,40,f8,108.44673686383932,-0.048685569694240094,0.011482792938855013,NaN
coupled,40,f9,114.65118568836654,0.04113738896711627,0.03592465192976402,NaN
coupled,40,f10,156.99044386179784,0.08938244911027571,0.04766396317530397,NaN
wing,48,OOP1,6.635714244337104,0.019790194268587413,-0.007540575637343672,0.08618769739221488
wing,48,IP1,20.811274408140385,0.016094099723984456,-0.005946341996221349,-0.5672507972270147
wing,48,OOP2,36.52233899474144,0.00478576603375469,-0.0019874506867467723,-0.375507379319584
wing,48,T1,42.89208046028806,0.04190468513416423,-0.023935074043968108,-1.3975161832458505
wing,48,OOP3,93.72313950109213,-0.08373536735131193,0.02797784861363617,0.4427601554947369
coupled,48,f1,5.906481249912552,0.021503121793720048,-0.008390315214834576,NaN
coupled,48,f2,7.957836189282569,0.0005346758195745593,-0.00023042896192260187,NaN
coupled,48,f3,8.530205132289831,0.004948534627313705,-0.0027151374326517264,NaN
coupled,48,f4,19.412705200778188,0.01808265804406073,-0.006866190237653225,NaN
coupled,48,f5,35.208038794568004,0.05959041307521673,-0.023879803814319533,NaN
coupled,48,f6,39.31349415016123,-0.007966048584862051,0.004478992903389489,NaN
coupled,48,f7,92.31003736429842,-0.06601158715494604,0.012714873290708972,NaN
coupled,48,f8,108.4664962271316,-0.03047410118459659,0.018220339185570644,NaN
coupled,48,f9,114.65242023148016,0.04221461373805635,0.0010767818110268834,NaN
coupled,48,f10,156.9360133897653,0.0546802583390571,-0.03467120080281605,NaN
wing,60,OOP1,6.632993684908782,-0.0212166624483201,-0.04099874298602035,0.04515361853367761
wing,60,IP1,20.80377889147743,-0.01992831222377145,-0.036016615397760354,-0.6030631080867987
wing,60,OOP2,36.50563843467887,-0.040943395274073424,-0.045726972921888986,-0.4210626440838139
wing,60,T1,42.86372323116994,-0.024235991236043475,-0.066112971937482,-1.4627052157012876
wing,60,OOP3,93.7311652376825,-0.07517929864401252,0.008563239167069803,0.45136130927285745
coupled,60,f1,5.904344122578488,-0.014687408451163897,-0.03618274982412073,NaN
coupled,60,f2,7.957827819734419,0.00042950159004906396,-0.0001051736671975334,NaN
coupled,60,f3,8.529617996502536,-0.0019348267081720216,-0.006883020726822231,NaN
coupled,60,f4,19.405630371486424,-0.01836825663148467,-0.03644432457295954,NaN
coupled,60,f5,35.177601374573726,-0.026911303070586978,-0.08645020011445181,NaN
coupled,60,f6,39.3076988568344,-0.02270610615598967,-0.014741231864812132,NaN
coupled,60,f7,92.30770436650536,-0.06853726888009781,-0.00252735006904814,NaN
coupled,60,f8,108.46868744508764,-0.02845453728398395,0.002020179532169486,NaN
coupled,60,f9,114.60917469337946,0.004479872552276554,-0.03771881833231072,NaN
coupled,60,f10,156.81367348616897,-0.02331764458183283,-0.07795527677416647,NaN
wing,80,OOP1,6.6358187352673745,0.02136518085449346,0.04259087966600461,0.08776372952299383
wing,80,IP1,20.81170014104356,0.01814011292193829,0.03807601305247932,-0.565216717422079
wing,80,OOP2,36.525691550982486,0.01396567284921435,0.05493155896860724,-0.3663623813898287
wing,80,T1,42.88709588976133,0.03027862446798313,0.054527831064365984,-1.4089749660659012
wing,80,OOP3,93.78645124332161,-0.016240052697658047,0.05898358939517845,0.5106111277693781
coupled,80,f1,5.906408133094806,0.02026494737057405,0.03495749017110583,NaN
coupled,80,f2,7.95783584557628,0.0005303567042203028,0.00010085468098441908,NaN
coupled,80,f3,8.530339952102326,0.006529111905440033,0.008464102379335259,NaN
coupled,80,f4,19.41281740878373,0.01866077580030545,0.0370358352690614,NaN
coupled,80,f5,35.201121035193744,0.03993046627717156,0.06685976218099299,NaN
coupled,80,f6,39.319512255439705,0.007340720765869335,0.0300536509357352,NaN
coupled,80,f7,92.37312799056114,0.002289738398797425,0.07087558346812184,NaN
